url,title,price,mileage,registration_time,gear_and_displacement,engine_info,location
https://www.che168.com/dealer/304242/51777403.html,D-MAX 2021款 1.9T自动四驱柴油Global悍动型RZ4E,¥13.90万,39000,2022年05月,自动 / 1.9L,动  机1.9T 163马力 L4,Куньмин
https://www.che168.com/dealer/601924/51755779.html,D-MAX 2021款 1.9T手动四驱柴油Global劲动型RZ4E,¥11.80万,63000,2022年06月,手动 / 1.9L,动  机1.9T 163马力 L4,Куньмин
https://www.che168.com/dealer/496725/51569619.html,D-MAX 2021款 1.9T自动四驱柴油Global悍动型RZ4E,¥14.58万,17000,2023年05月,自动 / 1.9L,动  机1.9T 163马力 L4,Куньмин
https://www.che168.com/dealer/306700/51197758.html,D-MAX 2018款 3.0T四驱自动超豪华型4JJ1-TC HI,¥12.58万,88000,2018年04月,自动 / 3L,动  机3.0T 177马力 L4,Цзинань
https://www.che168.com/dealer/406614/49014103.html,D-MAX 2021款 1.9T手动四驱柴油Global劲动型RZ4E,¥12.58万,60000,2021年08月,手动 / 1.9L,动  机1.9T 163马力 L4,柳州
https://www.che168.com/dealer/369084/50466898.html,D-MAX 2023款 1.9T手动四驱智领型,¥12.99万,1000,未上牌,手动 / 1.9L,动  机1.9T 177马力 L4,Наньчан
https://www.che168.com/dealer/369084/50266737.html,D-MAX 2021款 1.9T自动四驱柴油Global畅领型RZ4E,¥15.99万,1000,2024年01月,自动 / 1.9L,动  机1.9T 163马力 L4,Наньчан
https://www.che168.com/dealer/353094/51332801.html,D-MAX 2021款 1.9T自动四驱柴油Global悍动型RZ4E,¥14.80万,38000,2022年09月,自动 / 1.9L,动  机1.9T 163马力 L4,Чжэнчжоу
https://www.che168.com/dealer/595745/51143516.html,D-MAX 2021款 1.9T自动四驱柴油Global悍动型RZ4E,¥12.98万,50000,2021年09月,自动 / 1.9L,动  机1.9T 163马力 L4,Цзинань
https://www.che168.com/dealer/353094/50538691.html,D-MAX 2021款 1.9T自动四驱柴油Global引领型RZ4E,¥16.80万,20000,2022年10月,自动 / 1.9L,动  机1.9T 163马力 L4,Чжэнчжоу
https://www.che168.com/dealer/600222/50772161.html,D-MAX 2015款 2.5T两驱自动高通过精英型4JK1,¥6.28万,85000,2017年06月,自动 / 2.5L,动  机2.5T 136马力 L4,Наньнин
https://www.che168.com/dealer/270236/51794574.html,D-MAX 2021款 1.9T自动四驱柴油Global畅领型RZ4E,¥12.98万,30000,2022年01月,自动 / 1.9L,动  机1.9T 163马力 L4,Гуйлинь
https://www.che168.com/dealer/507002/50535114.html,D-MAX 2020款 1.9T四驱自动旗舰型 国VI RZ4E Hi-Power,¥12.98万,72000,2020年07月,自动 / 1.9L,动  机1.9T 163马力 L4,Гуйян
https://www.che168.com/dealer/353094/51380668.html,D-MAX 2021款 1.9T自动四驱柴油Global悍动型RZ4E,¥12.90万,42000,2021年05月,自动 / 1.9L,动  机1.9T 163马力 L4,Чжэнчжоу
https://www.che168.com/dealer/507002/50371546.html,D-MAX 2018款 3.0T四驱自动超豪华型4JJ1-TC HI,¥13.58万,148000,2019年02月,自动 / 3L,动  机3.0T 177马力 L4,Гуйян
https://www.che168.com/dealer/509883/50942288.html,D-MAX房车 2024款 1.9T 自动,¥27.50万,5000,2024年03月,自动 / 1.9L,动  机-,Шэньян
